Country Code,Country Name,Year of data,United Nations Region,World Bank Income Status,Food Vehicle,Mandatory Fortification,Mandatory Fortification Source English,Mandatory Fortification Comment,Fortification Year,Fortification Year Source English,Fortification Year Comment,Effective Year,Effective Year Source English,Effective Year Comment,Voluntary Fortification,Voluntary Fortification Year,Voluntary Fortification Source English,Voluntary Fortification Comment,Legislation scope types,Comment on legislation scope types,Legislation scope origins - Domestically Produced,Legislation scope origins - Imports,Legislation scope origins - Exports,Comment on legislation scope origins,Legislation scope uses - Household,Legislation scope uses - Processed food,Legislation scope uses - Animal feed,Legislation scope uses - Donated food,Comment on legislation scope uses,Source of legislation scope data in original language,Source of legislation scope data in English,External monitoring protocol,Source of external monitoring protocol data in original language,Source of external monitoring protocol data in English,Comment on external monitoring protocol data,Import monitoring protocol,Source of import monitoring protocol data in original language,Source of import monitoring protocol data in English,Comment on import monitoring protocol data
53,Benin,2010,Africa,Low income,Wheat flour,YES,"National Office of Foreign Trade. Wheat flour enriched with iron and folic acid specifications, NBF 01-187:2010. Burkina Faso. July/2010.",,2010,"National Office of Foreign Trade. Wheat flour enriched with iron and folic acid specifications, NBF 01-187:2010. Burkina Faso. July/2010.",,2010,,,NO,0,,,Subset,"Page 4.It applies to wheat flour obtained from Triticum aestivum LINNE (soft wheat) or Triticum compactum HOST (club wheat or branched wheat flour), or a mixture of both. does not apply to: products obtained from durum wheat (Triticum durum DESF) alone or in combination with other wheat, whole coarse flour and semolina (farina) obtained from common wheat (Triticum aestivum L) or club wheat (Triticum compactum HOST) or a mixture of both, wheat flour used as a brewery aid or for the manufacture of starch and / or gluten .",Domestically produced,Imports,,Not stipulated; it was assumed that domestically produced and imported flour must be fortified and exported flour does not need to be fortified.,Household,Processed food,,,"Page 4 ""This standard lays down the specifications for common wheat flour fortified with iron and folic acid for human consumption."" 4.8 The common wheat flour and folic acid flour referred to in this standard refers to type 55: breadmaking flour: flour intended for the manufacture of modern bakery bread (maximum ash content: 0.60% material dried)"".","National Office of Foreign Trade. Iron-enriched common wheat flour and folic acid specifications, NBF 01-187:2010. Burkina Faso. July/2010.","National Office of Foreign Trade. Iron-enriched common wheat flour and folic acid specifications, NBF 01-187:2010. Burkina Faso. July/2010.",Unknown,,,"According to 2013 FAO data, country did not produce this food, suggesting external monitoring protocols are not necessary.",Unknown,,,
17,Bermuda,1995,Americas,High income,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
17,Bermuda,2013,Americas,High income,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
17,Bermuda,1995,Americas,High income,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
17,Bermuda,,Americas,High income,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
17,Bermuda,1995,Americas,High income,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
18,Bhutan,0,Asia,Lower middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
18,Bhutan,0,Asia,Lower middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
18,Bhutan,0,Asia,Lower middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
18,Bhutan,0,Asia,Lower middle income,Salt,NO,"Personal communication: Chandrakant Pandav, Regional Coordinator for South Asia, Iodine Global Network. Republic of India. August/2017.","Although Bhutan does not have national legislation for salt iodization, the National Assembly (Parliament) banned the importation of non iodized salt",0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,Not applicable because this country does not have mandatory fortification.,Not applicable,,,Not applicable because this country does not have mandatory fortification.
18,Bhutan,0,Asia,Lower middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
19,Bolivia,0,Americas,Lower middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
19,Bolivia,2005,Americas,Lower middle income,Oil,YES,President of the Republic. Supreme Decree No 28094. Bolivia. 27/April/2005.  Plurinational State of Bolivia. Ministry of Health and Sports. Technical Regulation. Bolivia. 2009.,,2005,President of the Republic. Supreme Decree No 28094. Bolivia. 27/April/2005.,Effective within 90 days.,2005,,,NO,0,,,Subset,"The product to fortify is edible soybean oil, edible cottonseed oil, edible soyabean and cottonseed oil blends, edible sunflower oil, and edible soyabean and sunflower oil blends for human consumption.",Domestically produced,Imports,,"As part of the responsibilities of the National Program of Food and Nutrition, in their micronutrient component, it is established that all vegetable oil nationally produced and imported for national consumption shall be fortified with vitamin A.",Household,Processed food,,,Not specified. Assumed household and processed food uses.,"Plurinational State of Bolivia, Ministry of Health and Sports. Technical Regulations. Bolivia. 2009.","Plurinational State of Bolivia, Ministry of Health and Sports. Technical Regulations. Bolivia. 2009.",Yes,"Plurinational State of Bolivia, Ministry of Health and Sports. Quality and Technical Compliance for Fortifying Vegetable Oil. Bolivia. 2009.","Plurinational State of Bolivia, Ministry of Health and Sports. Quality and Technical Compliance for Fortifying Vegetable Oil. Bolivia. 2009.",,Yes,"Plurinational State of Bolivia, Ministry of Health and Sports. Quality and Technical Compliance for Fortifying Vegetable Oil. Bolivia. 2009.","Plurinational State of Bolivia, Ministry of Health and Sports. Quality and Technical Compliance for Fortifying Vegetable Oil. Bolivia. 2009.",
19,Bolivia,0,Americas,Lower middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
19,Bolivia,1968,Americas,Lower middle income,Salt,YES,"Constitutional President of the Republic. Supreme Decree No. 8338 of April 17, 1968. Plurinational State of Bolivia. 17/April/1968.",Established the use of iodized salt throughout the national territory for human and animal consumption. Technical regulation and Ministerial Resolution for the fortification of salt issued in 2013 to support the Supreme Decree.,1968,"Constitutional President of the Republic. Supreme Decree No. 8338 of April 17, 1968. Plurinational State of Bolivia. 17/April/1968.",Assumes effective year same as legislation year,1968,,,NO,0,,,All,"ARTICLE 1.- The use of iodized salt destined for human and animal consumption is established, generally throughout the territory of the Republic.  ARTICLE 2.- The obligatory nature of the use of iodized salt in food industries based on specific regulations is established as of the date.",Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,Household,Processed food,Animal feed,,"ARTICLE 1.- The use of iodized salt destined for human and animal consumption is established, generally throughout the territory of the Republic.  ARTICLE 2.- The obligatory nature of the use of iodized salt in food industries based on specific regulations is established as of the date.","Constitutional President of the Republic. Supreme Decree No. 8338 of April 17, 1968. Plurinational State of Bolivia. 17/April/1968.","Constitutional President of the Republic. Supreme Decree No. 8338 of April 17, 1968. Plurinational State of Bolivia. 17/April/1968.",Yes,Ministry of Health and Sports. Technical regulation for salt fortification.  Bolivia.  2013.,Ministry of Health and Sports. Technical regulation for salt fortification.  Bolivia.  2013.,External monitoring protocol begins on page 19.,Yes,Ministry of Health and Sports. Technical regulation for salt fortification. Bolivia. 2013.,Ministry of Health and Sports. Technical regulation for salt fortification. Bolivia. 2013.,Page 13 makes reference to the monitoring of imported premix.  Page 14 makes reference to the monitoring of imported salt.
19,Bolivia,1996,Americas,Lower middle income,Wheat flour,YES,"Plurinational State of Bolivia Ministry of Health and Sports. Legislation and regulation of fortified wheat flour, mixtures of flour and derivatives. Bolivia. 2011.",,1996,"Plurinational State of Bolivia Ministry of Health and Sports. Legislation and regulation of fortified wheat flour, mixtures of flour and derivatives. Bolivia. 2011.",,1997,,,NO,0,,,All,ARTICLE 3.- ... it is established that the wheat flour of national consumption must be fortified with iron and folate ....,Domestically produced,Imports,,"Article 1 .... The provisions of this regulation apply to wheat flour ... produced in the country, whether imported or donated and intended for human consumption ... Page 18.",Household,Processed food,,Donated food,"Article 1 .... The provisions of this regulation, apply to wheat flour ... produced in the country, whether imported or donated and intended for human consumption, used in the manufacture of bakery products, pastry, biscuits, pastries and other derived products.  Page 18.","Plurinational State of Bolivia Ministry of Helath and Sports. Legislation and Regulation of fortified wheat flour, wheat mixtures and derivatives. Bolivia. 2011.","Plurinational State of Bolivia Ministry of Helath and Sports. Legislation and Regulation of fortified wheat flour, wheat mixtures and derivatives. Bolivia. 2011.",Yes,"Plurinational State of Bolivia, Ministry of Health and Sports. Legislation and Regulation of Wheat Flour, Mixtures of Flour and Fortified Products. Bolivia. 2011.","Plurinational State of Bolivia, Ministry of Health and Sports. Legislation and Regulation of Wheat Flour, Mixtures of Flour and Fortified Products. Bolivia. 2011.",Monitoring starts on page 21.,Yes,"Ministry of Health and Sports. Legislation and Regulation of Wheat Flour, Mixtures of Flour and Fortified Products. Bolivia. 2011.","Ministry of Health and Sports. Legislation and Regulation of Wheat Flour, Mixtures of Flour and Fortified Products. Bolivia. 2011.",Monitoring starts on page 21.
80,Bosnia and Herzegovina,0,Europe,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
80,Bosnia and Herzegovina,0,Europe,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
80,Bosnia and Herzegovina,0,Europe,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
80,Bosnia and Herzegovina,2009,Europe,Upper middle income,Salt,YES,The Council of Ministers of Bosnia and Herzegovina. Ordinance on Salt for Human Nutrition. Bosnia and Herzegovina. 19/May/2009.[https://bit.ly/2yQuegz];   The Council of Ministers of Bosnia and Herzegovina. Ordinance on Changes and Supplements of The Rules on Salt for Human Nutrition. Bosnia and Herzegovina. 17/April/2012.,"2009 Ordinance: Article 7 (Basic Conditions) They are for the human diet that is placed on the market ... meet the following quality requirements:  g) is iodinated with potassium iodate (KIO3) so that it is the content of elemental iodine 20-30 mg per kilogram of salt, counting natural iodine, during the entire shelf life, is in accordance with Article 5 of this Ordinance; Amended in 2012, to include imports.",2009,The Council of Ministers of Bosnia and Herzegovina. Ordinance on Salt for Human Nutrition. Bosnia and Herzegovina. 19/May/2009.[https://bit.ly/2yQuegz],"Amended in 2012, to include imports.",2009,,,NO,0,,,All,"2009 Ordinance: Article 1 (Case) ...salt used in human nutrition and the food industry.... Article 3 (Usage) Salt for human consumption, within the meaning of this Ordinance, is a product used: a) for the production of food intended for human consumption; b) in addition to food; c) as a carrier for food additivies..... Updated in 2012 to include imports.",Domestically produced,Imports,,"2009 Ordinance: Article 1 (Case) ...salt used in human nutrition and the food industry.... Article 3 (Usage) Salt for human consumption, within the meaning of this Ordinance, is a product used: a) for the production of food intended for human consumption; b) in addition to food; c) as a carrier for food additivies..... Updated in 2012 to include imports.",Household,Processed food,,,"2009 Ordinance: Article 1 (Case) ...salt used in human nutrition and the food industry.... Article 3 (Usage) Salt for human consumption, within the meaning of this Ordinance, is a product used: a) for the production of food intended for human consumption; b) in addition to food; c) as a carrier for food additivies..... Updated in 2012 to include imports.",The Council of Ministers of Bosnia and Herzegovina. Ordinance on Salt for Human Nutrition. Bosnia and Herzegovina. 19/May/2009.[https://bit.ly/2yQuegz];   The Council of Ministers of Bosnia and Herzegovina. Ordinance on Changes and Supplements of The Rules on Salt for Human Nutrition. Bosnia and Herzegovina. 17/April/2012.,The Council of Ministers of Bosnia and Herzegovina. Ordinance on Salt for Human Nutrition. Bosnia and Herzegovina. 19/May/2009.[https://bit.ly/2yQuegz];   The Council of Ministers of Bosnia and Herzegovina. Ordinance on Changes and Supplements of The Rules on Salt for Human Nutrition. Bosnia and Herzegovina. 17/April/2012.,Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
80,Bosnia and Herzegovina,0,Europe,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
20,Botswana,0,Africa,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
20,Botswana,0,Africa,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
20,Botswana,0,Africa,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
20,Botswana,0,Africa,Upper middle income,Salt,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,Fortification status unknown,Not applicable,,,Fortification status unknown
20,Botswana,0,Africa,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
21,Brazil,2002,Americas,Upper middle income,Maize flour,YES,"National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.",,2002,"National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.",,2004,,,NO,0,,,Subset,"Union Official Journal (2017): ""Art. 2 This Resolution applies to wheat and maize flour intended for human consumption. Sole paragraph. This Resolution does not apply to the following products: I - biju flour, maize flour flake or pre-cooked corn flakes, whole wheat flour, durum wheat flour; and II - wheat and maize flour contained in imported food products. "" ""Article 4. Wheat and maize flour shall be obligatorily enriched with iron and folic acid. §1 The obligation of enrichment referred to in the caput does not apply to the following products: I - wheat and corn flour used as ingredients in food products where iron and / or folic acid have been shown to cause undesirable interference with the sensory characteristics of these products, and II - cornmeal made by a family farmer, a rural householder, a solidary economic enterprise and an individual microenterprise. """,Domestically produced,Imports,,Not stipulated; it was assumed that domestically produced and imported flour must be fortified and exported flour does not need to be fortified.,Household,Processed food,,,Not stipulated; it was assumed that flour for household and processed foods must be fortified and flour for animal feed or that is donated does not need to be fortified.,"National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.  Official Unity Diary. Resolution-RDC No. 155, of 13 April 2017. Brazil. 17/April/2017.","National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.  Official Unity Diary. Resolution-RDC No. 155, of 13 April 2017. Brazil. 17/April/2017.",Unknown,,,,Unknown,,,
21,Brazil,0,Americas,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
21,Brazil,0,Americas,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
21,Brazil,1974,Americas,Upper middle income,Salt,YES,"Presidency of the Republic. Law No. 9.005 of March 16, 1995. Brazil. 16/March/1995","Law No. 1944 14/8/1953 made it mandatory in endemic areas only. 1974 law No 6150 extended requirement to whole country. 1995 (current) law extended scope to refined, ground and granulated salt for human consumption.",1974,"Presidency of the Republic. Law 6,150, of December 3, 1974. Brazil. December 3, 1974",This was the first law to require salt iodization in the whole country. Law came into effect on the date of publication: 3 December 1974.,1974,,,NO,0,,,Subset,Art 2. This regulation applies to salt intended for human consumption; Art. 6 Industrialized foodstuffs may use salt without addition of iodine as an ingredient provided that iodine is proven to interfere with the organoleptic characteristics of the product.,Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,Household,Processed food,,,This regulation applies to salt intended for human consumption; Art. 6 Industrialized foodstuffs may use salt without addition of iodine as an ingredient provided that iodine is proven to interfere with the organoleptic characteristics of the product.,"Ministry of Health, National Health Surveillance  Agency. Resolution RDC No. 23 of 24 April 2013. Brazil. 24/April/2013 [http://bit.ly/2v8WZlH]","Ministry of Health, National Health Surveillance  Agency. Resolution RDC No. 23 of 24 April 2013. Brazil. 24/April/2013 [http://bit.ly/2v8WZlH]",Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
21,Brazil,2002,Americas,Upper middle income,Wheat flour,YES,"National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.",,2002,"National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.",,2004,,,NO,0,,,Subset,"Union Official Journal (2017): ""Art. 2 This Resolution applies to wheat and maize flour intended for human consumption. Sole paragraph. This Resolution does not apply to the following products: I - biju flour, maize flour flake or pre-cooked corn flakes, whole wheat flour, durum wheat flour; and II - wheat and maize flour contained in imported food products. "" ""Article 4. Wheat and maize flour shall be obligatorily enriched with iron and folic acid. §1 The obligation of enrichment referred to in the caput does not apply to the following products: I - wheat and corn flour used as ingredients in food products where iron and / or folic acid have been shown to cause undesirable interference with the sensory characteristics of these products, and II - cornmeal made by a family farmer, a rural householder, a solidary economic enterprise and an individual microenterprise. """,Domestically produced,Imports,,Not stipulated; it was assumed that domestically produced and imported flour must be fortified and exported flour does not need to be fortified.,Household,Processed food,,,"National Agency for Sanitary Surveillance (2002): ""4.1 The addition of iron and folic acid to wheat meal and pre-packed corn meal in the absence of the customer and ready for supply to the consumer for industrial use is mandatory, including baking and flours added in premixes ... ""It was assumed that wheat flour for animal feed or donated does not need to be fortified.","National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.  Official Unity Diary. Resolution-RDC No. 155, of 13 April 2017. Brazil. 17/April/2017.","National Health Surveillance Agency. RDC Resolution No. 344 of December 13, 2002. Brazil. 13/December/2002.  Official Unity Diary. Resolution-RDC No. 155, of 13 April 2017. Brazil. 17/April/2017.",Unknown,,,,Unknown,,,
24,British Indian Ocean Territory,2020,Africa, ,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
24,British Indian Ocean Territory,,Africa, ,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
24,British Indian Ocean Territory,2017,Africa, ,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
24,British Indian Ocean Territory,,Africa, ,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
24,British Indian Ocean Territory,2020,Africa, ,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
239,British Virgin Islands,2020,Americas,High income,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
239,British Virgin Islands,,Americas,High income,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
239,British Virgin Islands,2017,Americas,High income,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
239,British Virgin Islands,,Americas,High income,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
239,British Virgin Islands,2020,Americas,High income,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
26,Brunei Darussalam,0,Asia,High income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
26,Brunei Darussalam,0,Asia,High income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
26,Brunei Darussalam,0,Asia,High income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
26,Brunei Darussalam,0,Asia,High income,Salt,NO,UNICEF EAPRO. Review of National Legislation for Universal Salt Iodization: South and East Asia and the Pacific. July/2015. [http://uni.cf/2vwwppS],,0,,,0,,,YES,2001,"Public Health (Food) Regulations, Revised Edition 2001 (1st February 2001) - Salts 208. Negara Brunei Darussalam. 01/February/2001. [http://bit.ly/2u0TBJu]",Brunei has a standard for iodized salt but it is not mandatory,,,,,,,,,,,,,,Not applicable,,,Not applicable because this country does not have mandatory fortification.,Not applicable,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
26,Brunei Darussalam,0,Asia,High income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
27,Bulgaria,0,Europe,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
27,Bulgaria,0,Europe,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
27,Bulgaria,0,Europe,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
27,Bulgaria,1994,Europe,Upper middle income,Salt,YES,Council of Ministries. Decree Number 23 (State Gazette No. 11/6 February 2001) 30 January 2001. Republic of Bulgria. 06/February/2001.,"""The requirements to the salt are obligatory for all persons (individuals) involved in the process of manufacture, import and trade of salt for nutritional purposes; 3.Salt for nutritional purposes includes: Table salt, Salt for food industry"" Replaces Decree by Council of Ministries Decree Number 96/17.05 on 17 May 1994.",1994,Council of Ministries. Government Decree Number 96/ 17.05 (State Gazette 43/27.05.1994). 17 May 1994. Republic of Bulgaria. 17/May/1994.,,1994,,,NO,0,,,All,"The requirements to the salt are obligatory for all persons (individuals) involved in the process of manufacture, import and trade of salt for nutritional purposes; 3. Salt for nutritional purposes includes: Table salt  Salt for food industry; (3) The use of non-iodized salt in food industry is permitted only for export foods, if this is requirement of the particular country.",Domestically produced,Imports,,"(2.2) The requirements to the salt are obligatory for all persons (individuals) involved in the process of manufacture, import and trade of salt for nutritional purposes. (5.3) The use of non-iodized saltin food indusry is permitted only for export foods, if this is a requirement of the particular country.",Household,Processed food,,,3. Salt for nutritional purposes includes:   Table salt  Salt for food industry,Council of Ministries. Decree Number 23 (State Gazette No. 11/6 February 2001) 30 January 2001. Republic of Bulgria. 06/February/2001.,Council of Ministries. Decree Number 23 (State Gazette No. 11/6 February 2001) 30 January 2001. Republic of Bulgria. 06/February/2001.,Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
27,Bulgaria,0,Europe,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
233,Burkina Faso,0,Africa,Low income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
